model_name,repeat,fold,n_features,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,ordinal_mae,severe_error_rate,within_1_accuracy,error
naive_bayes,2,2,41,0.54375,0.8269248952820668,0.54375,0.6018730745998188,0.4398510017114668,0.4625,0.00625,0.99375,
decision_tree,2,2,41,0.78125,0.7984290081521739,0.78125,0.7895872947277441,0.46951887064246617,0.225,0.00625,0.99375,
ada_boost,2,2,41,0.825,0.7994791666666667,0.825,0.8053413058928957,0.48051667130187575,0.175,0.0,1.0,
ridge,2,2,41,0.83125,0.7945488721804512,0.83125,0.7897028663207314,0.43965488839469563,0.16875,0.0,1.0,
logistic_regression,2,3,41,0.678125,0.8412129777359706,0.678125,0.7243046536796537,0.512463924963925,0.33125,0.009375,0.990625,
random_forest,2,3,41,0.878125,0.8411505190311418,0.878125,0.8551735242388963,0.529003278092926,0.121875,0.0,1.0,
gradient_boosting,2,3,41,0.871875,0.8643096107055961,0.871875,0.8613179600371748,0.6089377827728307,0.13125,0.003125,0.996875,
svm,2,3,41,0.69375,0.8345647436636234,0.69375,0.7349926272059788,0.48902655797275063,0.321875,0.015625,0.984375,
knn,2,3,41,0.83125,0.8116616357397051,0.83125,0.8163486965004776,0.533194957587834,0.171875,0.003125,0.996875,
naive_bayes,2,3,41,0.68125,0.823719298245614,0.68125,0.720407283910639,0.5269471845642321,0.325,0.00625,0.99375,
decision_tree,2,3,41,0.84375,0.851284387065637,0.84375,0.842686605539139,0.6152345636093246,0.159375,0.003125,0.996875,
ada_boost,2,3,41,0.815625,0.7987912735849056,0.815625,0.8065393990647698,0.4786124100421185,0.184375,0.0,1.0,
ridge,2,3,41,0.8375,0.7841875919793966,0.8375,0.7976680617505647,0.4229276487284945,0.1625,0.0,1.0,
logistic_regression,2,4,41,0.6625,0.8718286762211669,0.6625,0.7114278112155021,0.5486675326369982,0.340625,0.003125,0.996875,
random_forest,2,4,41,0.865625,0.8288624976587377,0.865625,0.8461736889794995,0.521025408691056,0.134375,0.0,1.0,
